temp_id,nmbr_f_,center_x,center_y,level
618,0,121.125,22.22916754,1
619,0,121.175,22.22916754,1
620,0,121.225,22.22916754,1
621,0,121.275,22.22916754,1
622,0,121.325,22.22916754,1
623,0,121.375,22.22916754,1
626,0,121.525,22.22916754,1
627,0,121.575,22.22916754,1
628,0,121.625,22.22916754,1
629,0,121.675,22.22916754,1
630,0,121.725,22.22916754,1
632,0,121.825,22.22916754,1
634,0,120.125,22.27083421,1
635,0,120.175,22.27083421,1
652,0,121.025,22.27083421,1
655,0,121.175,22.27083421,1
657,0,121.275,22.27083421,1
658,0,121.325,22.27083421,1
659,0,121.375,22.27083421,1
662,0,121.525,22.27083421,1
666,0,121.725,22.27083421,1
667,0,121.775,22.27083421,1
668,0,120.025,22.31250088,1
688,0,121.025,22.31250088,1
691,0,121.175,22.31250088,1
692,0,121.225,22.31250088,1
693,0,121.275,22.31250088,1
694,0,121.325,22.31250088,1
701,0,121.675,22.31250088,1
702,0,121.725,22.31250088,1
703,0,121.775,22.31250088,1
704,0,119.975,22.35416755,1
725,0,121.025,22.35416755,1
726,0,121.075,22.35416755,1
729,0,121.225,22.35416755,1
735,0,121.525,22.35416755,1
737,0,121.625,22.35416755,1
739,0,121.725,22.35416755,1
740,0,121.775,22.35416755,1
741,0,119.925,22.39583421,1
743,0,120.025,22.39583421,1
764,0,121.075,22.39583421,1
765,0,121.125,22.39583421,1
767,0,121.225,22.39583421,1
769,0,121.325,22.39583421,1
774,0,121.575,22.39583421,1
775,0,121.625,22.39583421,1
776,0,121.675,22.39583421,1
777,0,121.725,22.39583421,1
802,0,121.075,22.43750088,1
803,0,121.125,22.43750088,1
805,0,121.225,22.43750088,1
806,0,121.275,22.43750088,1
807,0,121.325,22.43750088,1
809,0,121.425,22.43750088,1
812,0,121.575,22.43750088,1
814,0,121.675,22.43750088,1
816,0,121.775,22.43750088,1
817,0,119.875,22.47916755,1
819,0,119.975,22.47916755,1
820,0,120.025,22.47916755,1
821,0,120.075,22.47916755,1
840,0,121.025,22.47916755,1
841,0,121.075,22.47916755,1
844,0,121.225,22.47916755,1
847,0,121.375,22.47916755,1
848,0,121.425,22.47916755,1
850,0,121.525,22.47916755,1
851,0,121.575,22.47916755,1
852,0,121.625,22.47916755,1
853,0,121.675,22.47916755,1
854,0,121.725,22.47916755,1
855,0,121.775,22.47916755,1
857,0,119.875,22.52083422,1
859,0,119.975,22.52083422,1
880,0,121.025,22.52083422,1
887,0,121.375,22.52083422,1
890,0,121.525,22.52083422,1
891,0,121.575,22.52083422,1
892,0,121.625,22.52083422,1
893,0,121.675,22.52083422,1
895,0,121.775,22.52083422,1
896,0,119.775,22.56250088,1
897,0,119.825,22.56250088,1
898,0,119.875,22.56250088,1
899,0,119.925,22.56250088,1
900,0,119.975,22.56250088,1
922,0,121.075,22.56250088,1
932,0,121.575,22.56250088,1
934,0,121.675,22.56250088,1
935,0,121.725,22.56250088,1
936,0,121.775,22.56250088,1
937,0,119.725,22.60416755,1
939,0,119.825,22.60416755,1
940,0,119.875,22.60416755,1
941,0,119.925,22.60416755,1
944,0,120.075,22.60416755,1
970,0,121.375,22.60416755,1
975,0,121.625,22.60416755,1
978,0,121.775,22.60416755,1
979,0,119.675,22.64583422,1
980,0,119.725,22.64583422,1
981,0,119.775,22.64583422,1
982,0,119.825,22.64583422,1
984,0,119.925,22.64583422,1
985,0,119.975,22.64583422,1
988,0,120.125,22.64583422,1
1012,0,121.325,22.64583422,1
1013,0,121.375,22.64583422,1
1018,0,121.625,22.64583422,1
1019,0,121.675,22.64583422,1
1020,0,121.725,22.64583422,1
1021,0,119.625,22.68750089,1
1022,0,119.675,22.68750089,1
1023,0,119.725,22.68750089,1
1024,0,119.775,22.68750089,1
1025,0,119.825,22.68750089,1
1026,0,119.875,22.68750089,1
1028,0,119.975,22.68750089,1
1029,0,120.025,22.68750089,1
1030,0,120.075,22.68750089,1
1054,0,121.275,22.68750089,1
1055,0,121.325,22.68750089,1
1061,0,121.625,22.68750089,1
1062,0,121.675,22.68750089,1
1063,0,121.725,22.68750089,1
1064,0,119.575,22.72916755,1
1066,0,119.675,22.72916755,1
1067,0,119.725,22.72916755,1
1068,0,119.775,22.72916755,1
1069,0,119.825,22.72916755,1
1070,0,119.875,22.72916755,1
1071,0,119.925,22.72916755,1
1073,0,120.025,22.72916755,1
1074,0,120.075,22.72916755,1
1100,0,121.375,22.72916755,1
1105,0,121.625,22.72916755,1
1106,0,121.675,22.72916755,1
1108,0,119.525,22.77083422,1
1109,0,119.575,22.77083422,1
1110,0,119.625,22.77083422,1
1112,0,119.725,22.77083422,1
1113,0,119.775,22.77083422,1
1115,0,119.875,22.77083422,1
1116,0,119.925,22.77083422,1
1117,0,119.975,22.77083422,1
1118,0,120.025,22.77083422,1
1119,0,120.075,22.77083422,1
1143,0,121.275,22.77083422,1
1144,0,121.325,22.77083422,1
1145,0,121.375,22.77083422,1
1150,0,121.625,22.77083422,1
1151,0,121.675,22.77083422,1
1152,0,121.725,22.77083422,1
1153,0,119.475,22.81250089,1
1154,0,119.525,22.81250089,1
1155,0,119.575,22.81250089,1
1156,0,119.625,22.81250089,1
1157,0,119.675,22.81250089,1
1158,0,119.725,22.81250089,1
1159,0,119.775,22.81250089,1
1160,0,119.825,22.81250089,1
1161,0,119.875,22.81250089,1
1196,0,121.625,22.81250089,1
1197,0,121.675,22.81250089,1
1198,0,121.725,22.81250089,1
1199,0,119.475,22.85416755,1
1200,0,119.525,22.85416755,1
1201,0,119.575,22.85416755,1
1202,0,119.625,22.85416755,1
1203,0,119.675,22.85416755,1
1204,0,119.725,22.85416755,1
1205,0,119.775,22.85416755,1
1207,0,119.875,22.85416755,1
1208,0,119.925,22.85416755,1
1239,0,121.475,22.85416755,1
1241,0,121.575,22.85416755,1
1243,0,121.675,22.85416755,1
1244,0,121.725,22.85416755,1
1245,0,119.425,22.89583422,1
1246,0,119.475,22.89583422,1
1247,0,119.525,22.89583422,1
